module name	repository
glob@7.1.6	https://github.com/isaacs/node-glob
graceful-fs@4.2.3	https://github.com/isaacs/node-graceful-fs
type@1.2.0	https://github.com/medikoo/type
type@2.0.0	https://github.com/medikoo/type
xmldom@0.1.27	https://github.com/jindw/xmldom
@babel/code-frame@7.0.0	https://github.com/babel/babel/tree/master/packages/babel-code-frame
@babel/highlight@7.0.0	https://github.com/babel/babel/tree/master/packages/babel-highlight
@types/events@3.0.0	https://github.com/DefinitelyTyped/DefinitelyTyped
@types/roslib@0.18.3	https://github.com/DefinitelyTyped/DefinitelyTyped
accepts@1.3.5	https://github.com/jshttp/accepts
acorn@5.7.3	https://github.com/acornjs/acorn
after@0.8.2	https://github.com/Raynos/after
ansi-escapes@3.2.0	https://github.com/sindresorhus/ansi-escapes
ansi-regex@2.1.1	https://github.com/chalk/ansi-regex
ansi-regex@3.0.0	https://github.com/chalk/ansi-regex
ansi-styles@2.2.1	https://github.com/chalk/ansi-styles
ansi-styles@3.2.1	https://github.com/chalk/ansi-styles
argparse@1.0.10	https://github.com/nodeca/argparse
arraybuffer.slice@0.0.7	https://github.com/rase-/arraybuffer.slice
array-flatten@1.1.1	https://github.com/blakeembrey/array-flatten
array-unique@0.3.2	https://github.com/jonschlinkert/array-unique
arr-diff@4.0.0	https://github.com/jonschlinkert/arr-diff
arr-flatten@1.1.0	https://github.com/jonschlinkert/arr-flatten
arrify@1.0.1	https://github.com/sindresorhus/arrify
arr-union@3.1.0	https://github.com/jonschlinkert/arr-union
asn1@0.2.4	https://github.com/joyent/node-asn1
assert-plus@1.0.0	https://github.com/mcavage/node-assert-plus
assign-symbols@1.0.0	https://github.com/jonschlinkert/assign-symbols
async-each@1.0.1	https://github.com/paulmillr/async-each
asynckit@0.4.0	https://github.com/alexindigo/asynckit
async-limiter@1.0.0	https://github.com/strml/async-limiter
aws4@1.8.0	https://github.com/mhart/aws4
babel-code-frame@6.26.0	https://github.com/babel/babel/tree/master/packages/babel-code-frame
babel-generator@6.26.1	https://github.com/babel/babel/tree/master/packages/babel-generator
babel-messages@6.23.0	https://github.com/babel/babel/tree/master/packages/babel-messages
babel-runtime@6.26.0	https://github.com/babel/babel/tree/master/packages/babel-runtime
babel-template@6.26.0	https://github.com/babel/babel/tree/master/packages/babel-template
babel-traverse@6.26.0	https://github.com/babel/babel/tree/master/packages/babel-traverse
babel-types@6.26.0	https://github.com/babel/babel/tree/master/packages/babel-types
babylon@6.18.0	https://github.com/babel/babylon
backo2@1.0.2	https://github.com/mokesmokes/backo
balanced-match@1.0.0	https://github.com/juliangruber/balanced-match
base@0.11.2	https://github.com/node-base/base
base64-arraybuffer@0.1.5	https://github.com/niklasvh/base64-arraybuffer
base64id@1.0.0	https://github.com/faeldt/base64id
big.js@5.2.2	https://github.com/MikeMcl/big.js
binary-extensions@1.12.0	https://github.com/sindresorhus/binary-extensions
blob@0.0.5	https://github.com/webmodules/blob
brace-expansion@1.1.11	https://github.com/juliangruber/brace-expansion
braces@2.3.2	https://github.com/micromatch/braces
browser-resolve@1.11.3	https://github.com/shtylman/node-browser-resolve
buffer-from@1.1.1	https://github.com/LinusU/buffer-from
builtin-modules@1.1.1	https://github.com/sindresorhus/builtin-modules
bytes@3.0.0	https://github.com/visionmedia/bytes.js
cache-base@1.0.1	https://github.com/jonschlinkert/cache-base
callsites@2.0.0	https://github.com/sindresorhus/callsites
cbor-js@0.1.0	https://github.com/paroga/cbor-js
chalk@1.1.3	https://github.com/chalk/chalk
chalk@2.4.2	https://github.com/chalk/chalk
